,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name
20073,120089,Alexander,Konigsfeldt,R,19870510,DEN,,,Alexander Konigsfeldt
20074,120090,Diego,Puerto Jaimez,U,19890928,ESP,,,Diego Puerto Jaimez
20075,120091,Amarit,Sanchez Thammakrong,U,19870506,ESP,,,Amarit Sanchez Thammakrong
20076,120092,Rafael,Sanchez Navas,U,19890205,ESP,,,Rafael Sanchez Navas
20077,120093,Carlos,Gamez Duran,U,19840519,ESP,,,Carlos Gamez Duran
20078,120094,Enrique,Huelin Alvarez,U,19880520,ESP,,,Enrique Huelin Alvarez
20079,120095,Luca,Compagnucci,R,19860521,ITA,,,Luca Compagnucci
20080,120096,Francesco,Pagani,U,19820424,ITA,,,Francesco Pagani
20081,120097,Nikos,Spyrou,U,19880125,GRE,,,Nikos Spyrou
20082,120098,Xavier,Riart Ferrer,U,19880418,ESP,,,Xavier Riart Ferrer
20083,120099,Pim,Van Mele,L,19811014,BEL,,,Pim Van Mele
20084,120100,Josip,Juric,R,19870216,CRO,,,Josip Juric
20085,120101,Ivan,Galic,L,19870819,AUT,,,Ivan Galic
20086,120102,Gabriel,Ionascu,U,19870303,ROU,,,Gabriel Ionascu
20087,120103,Vlad Alex,Marinescu,R,19880802,ROU,,,Vlad Alex Marinescu
20088,120104,Ioannis,Stavridis,U,19830224,GRE,,,Ioannis Stavridis
20089,120105,Adrian,Ludwikiewicz,U,19770929,POL,,,Adrian Ludwikiewicz
20090,120106,Borislav,Borovic,U,19850110,SRB,,,Borislav Borovic
20091,120107,Filip,Spasojevic,L,19870622,SRB,,,Filip Spasojevic
20092,120108,Cosmin Cristian,Andreescu,R,19890810,ROU,,,Cosmin Cristian Andreescu
20093,120109,Michal,Sekula,R,19880123,POL,,,Michal Sekula
20094,120110,Hubert,Holzler,R,19810906,AUT,,,Hubert Holzler
20095,120111,Erik,Konig,U,19880321,SLO,,,Erik Konig
20096,120112,Marko,Pralica,R,19871130,SRB,,,Marko Pralica
20097,120113,Flaviu,Simihaian,U,19870620,ROU,,,Flaviu Simihaian
20098,120114,Adrian Ionut,Balota,U,19891118,ROU,,,Adrian Ionut Balota
20099,120115,Mihai,Parvan,U,19880710,ROU,,,Mihai Parvan
20100,120116,Robert,Grygiel,R,19830118,GER,,,Robert Grygiel
20101,120117,Dmitriy,Kalenichenko,U,19880704,UKR,,,Dmitriy Kalenichenko
20102,120118,Aleksandr,Mantrov,U,19860523,UKR,,,Aleksandr Mantrov
20103,120119,Igor,Nikitin,U,19880305,UKR,,,Igor Nikitin
20104,120120,Marko,Pazman,R,19860917,CRO,,,Marko Pazman
20105,120121,Alexandru,Joitoiu,R,19880823,ROU,,,Alexandru Joitoiu
20106,120122,Oliver,Andrzejczuk,U,19880425,POL,,,Oliver Andrzejczuk
20107,120123,Harrison,Keyser,R,19871127,AUS,,,Harrison Keyser
20108,120124,Enej,Bonin,R,19900417,SLO,,,Enej Bonin
20109,120125,Philippe,Niewerth,U,19861021,NED,,,Philippe Niewerth
20110,120126,Raphael,Jannel,U,19870619,FRA,,,Raphael Jannel
20111,120127,Antonio,Ochoa Collado,R,19860312,ESP,,,Antonio Ochoa Collado
20112,120128,Maxime,Braeckman,U,19850402,BEL,,,Maxime Braeckman
20113,120129,Matthias,Mazur,U,19860216,SUI,,,Matthias Mazur
20114,120130,Dennis,Simsek,R,19800602,CAN,,,Dennis Simsek
20115,120131,Danail,Tarpov,R,19881124,BUL,,,Danail Tarpov
20116,120132,Angel,Diankov,R,19811115,BUL,,,Angel Diankov
20117,120133,Gabor Zoltan,Pelva,U,19810207,SRB,,,Gabor Zoltan Pelva
20118,120134,Andrea Massimo,Volta,U,19900730,ITA,,,Andrea Massimo Volta
20119,120135,Alberto,Iarossi,U,19900315,ITA,,,Alberto Iarossi
20120,120136,Dimitar,Labudovik,R,19870709,MKD,,,Dimitar Labudovik
20121,120137,Vasco,Zdravkin,L,19890109,MKD,,,Vasco Zdravkin
20122,120138,Pierre,Mouillon,U,19850201,FRA,,,Pierre Mouillon
20123,120139,Aleh,Patapau,R,19860912,BLR,,,Aleh Patapau
20124,120140,Georgy,Morgoev,U,19880708,RUS,,,Georgy Morgoev
20125,120141,Francisco,Gonzalez Segura,U,19820926,ESP,,,Francisco Gonzalez Segura
20126,120142,Pablo,Romero Otero,U,19831211,ESP,,,Pablo Romero Otero
20127,120143,Danny,Spierenburg,R,19860720,NED,,,Danny Spierenburg
20128,120144,Alexandru,Grecea,R,19870614,ROU,,,Alexandru Grecea
20129,120145,Michel,Remino,R,19850522,ITA,,,Michel Remino
20130,120146,Ilhan,Mutlu,U,19870204,TUR,,,Ilhan Mutlu
20131,120147,Sergey,Melikhov,U,19890919,RUS,,,Sergey Melikhov
20132,120148,Paul,Moggre,U,19840407,NED,,,Paul Moggre
20133,120149,Stefan Radu,Leonte,R,19880624,ROU,,,Stefan Radu Leonte
20134,120150,Dragos Ioan,Ghioc,U,19880203,ROU,,,Dragos Ioan Ghioc
20135,120151,Laurentiu,Basarab,U,19890730,ROU,,,Laurentiu Basarab
20136,120152,Pawel,Glodkowski,U,19880707,POL,,,Pawel Glodkowski
20137,120153,Janusz,Conradi,R,19870107,POL,,,Janusz Conradi
20138,120154,Michal,Olejniczak,U,19860620,POL,,,Michal Olejniczak
20139,120155,Piotr,Zielinski,U,19870308,POL,,,Piotr Zielinski
20140,120156,Andrzej,Misiek,U,19770520,POL,,,Andrzej Misiek
20141,120157,Ezequiel,Krivulin,U,19870604,ARG,,,Ezequiel Krivulin
20142,120158,Pablo,Cerutti,U,19801116,ARG,,,Pablo Cerutti
20143,120159,Daniel,Rico Junyent,R,19840503,ARG,,,Daniel Rico Junyent
20144,120160,Mariano,Benedicti,R,19880924,ARG,,,Mariano Benedicti
20145,120161,Martin,Brocal,U,19851201,ARG,,,Martin Brocal
20146,120162,Matias,Lieb,U,19890412,ARG,,,Matias Lieb
20147,120163,Raul,Nahim,U,19860325,ARG,,,Raul Nahim
20148,120164,Rodrigo,Orozco,R,19850714,ARG,,,Rodrigo Orozco
20149,120165,Lucas,Dirube,U,19890617,URU,,,Lucas Dirube
20150,120166,Abdullah,Qassim,U,19891202,KUW,,,Abdullah Qassim
20151,120167,Marcos,Fernandez Acanda,U,19860315,CUB,,,Marcos Fernandez Acanda
20152,120168,Alejandro,Lacruz,U,19760116,MEX,,,Alejandro Lacruz
20153,120169,Alberton,Richelieu,U,19870718,LCA,,,Alberton Richelieu
20154,120170,Mykhailo,Zorin,U,19890728,UKR,,,Mykhailo Zorin
20155,120171,Vojtech,Kunovsky,U,19890718,CZE,,,Vojtech Kunovsky
20156,120172,Jiri,Podhajsky,U,19881008,CZE,,,Jiri Podhajsky
20157,120173,Karel,Vesecky,U,19820606,CZE,,,Karel Vesecky
20158,120174,Michal,Kozerovsky,U,19880328,CZE,,,Michal Kozerovsky
20159,120175,Sumit Prakash,Gupta,R,19881127,IND,,,Sumit Prakash Gupta
20160,120176,Sandeep,Choudhary,U,19821219,IND,,,Sandeep Choudhary
20161,120177,Divyanshu,Singh,U,19851023,IND,,,Divyanshu Singh
20162,120178,Henrique,Cancado,U,19840601,BRA,,,Henrique Cancado
20163,120179,Luciano,Silva,U,19820129,BRA,,,Luciano Silva
20164,120180,Fernando,Fittipaldi,U,19880520,BRA,,,Fernando Fittipaldi
